,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track_number,track_id,album_id,artista
0,0.385,0.221,2,-19.952,0,0.0485,0.993,0.909,0.0842,0.399,119.803,audio_features,270427,4,1,1y06znPrNWnARNscn2lDfU,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
1,0.339,0.0847,0,-22.421,0,0.0411,0.994,0.856,0.121,0.344,90.26,audio_features,229107,4,2,2uFkpZY4pukkpKqahl9lID,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
2,0.336,0.1,1,-23.827,1,0.0454,0.994,0.905,0.101,0.313,81.588,audio_features,300067,4,3,2LesCGuMXPBD4kQuZ7y4UH,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
3,0.392,0.104,1,-24.234,0,0.0584,0.994,0.897,0.124,0.151,122.313,audio_features,563533,4,4,63OetCGvEES1IbCrTX4F4J,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
4,0.449,0.2,2,-18.572,1,0.0468,0.992,0.901,0.171,0.234,109.392,audio_features,428893,4,5,7tBzUxV4jYpQl85ac9kAkv,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
5,0.324,0.159,2,-23.134,0,0.0404,0.994,0.891,0.12,0.244,94.211,audio_features,231867,4,6,5fVsOOEUqhtobVp3kHHkAl,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
6,0.406,0.136,3,-20.149,1,0.0589,0.994,0.914,0.11,0.369,118.533,audio_features,309573,4,7,1RIHGZdLNsRppluABSqhK4,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
7,0.41,0.128,3,-20.874,0,0.0444,0.993,0.903,0.29,0.239,93.518,audio_features,349600,4,8,6vD0zff8VFfEjWLPCkZBo9,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
8,0.388,0.0199,4,-25.699,1,0.0658,0.994,0.891,0.0747,0.245,96.004,audio_features,478200,4,9,2E8IFGUKi6NG07nwRWF44r,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
9,0.27,0.31,4,-18.967,0,0.0399,0.991,0.882,0.152,0.675,147.8,audio_features,258627,4,10,1SHsp4PdrLWiVHmY0Z2ZCP,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
10,0.295,0.123,5,-21.533,1,0.0561,0.994,0.893,0.1,0.23,90.934,audio_features,402160,4,11,3O9UI5KsXZjhEgHIXwWw5w,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
11,0.353,0.104,5,-21.361,0,0.0475,0.993,0.897,0.0725,0.284,98.732,audio_features,291573,4,12,5oT9NmOcFJj03AfcSc2MrR,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
12,0.378,0.0628,6,-25.637,1,0.0642,0.993,0.876,0.121,0.309,121.588,audio_features,504360,4,13,3D9kQZ9vQrF0eVTitFwIYP,3xzZ4Uo3uzUAiGNNjn7dKm,Joao Carlos Martins
0,0.39,0.122,6,-23.866,1,0.0554,0.994,0.886,0.105,0.301,112.773,audio_features,272347,4,1,5fInYPmkqDXBWWjA3jz7Zg,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
1,0.36,0.187,6,-19.325,0,0.0613,0.994,0.891,0.164,0.15,72.906,audio_features,277667,4,2,4r3XOVnfvbCbm9AnbOVWJa,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
2,0.336,0.436,7,-12.754,1,0.0386,0.978,0.918,0.121,0.813,99.432,audio_features,221240,4,3,1wl6eEliLtlgCPOwAkDpG9,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
3,0.304,0.105,7,-15.364,0,0.0628,0.992,0.889,0.133,0.157,59.513,audio_features,306467,4,4,6GYFfzw4WbFkOZG7YGp8sM,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
4,0.407,0.288,8,-14.743,1,0.0413,0.991,0.922,0.148,0.533,114.778,audio_features,227773,4,5,5UHmqHd0LycBk4Nv5WYEqV,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
5,0.473,0.229,8,-16.332,0,0.0686,0.992,0.897,0.17,0.249,121.875,audio_features,258693,4,6,3uzDuiMFxkUEBRUxATMRNs,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
6,0.314,0.2,9,-16.445,1,0.0452,0.991,0.908,0.103,0.539,97.244,audio_features,251293,4,7,7uvMxWMcFrIZ4Q7sjfXXUM,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
7,0.417,0.288,9,-14.521,0,0.0441,0.992,0.91,0.0814,0.314,130.011,audio_features,419307,4,8,5bjzc49Fa6iP8D047fxTSu,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
8,0.379,0.273,10,-17.093,1,0.0483,0.992,0.878,0.225,0.392,150.733,audio_features,203760,4,9,1yWHJrYjBiIQFUFS6h1epO,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
9,0.588,0.0881,10,-15.119,0,0.0901,0.991,0.882,0.112,0.128,91.626,audio_features,435040,4,10,4SYrpcrzVKBa940FvDLIjJ,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
10,0.408,0.22,11,-17.148,1,0.0543,0.992,0.905,0.148,0.23,113.044,audio_features,224200,4,11,58vJgVbF72NpuGXEzXySAG,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
11,0.55,0.12,11,-15.784,0,0.0821,0.989,0.897,0.0801,0.349,95.661,audio_features,938653,4,12,0TPUz2c2g01klts4OlMd0T,1UQ57nPOWkCsDHbIv5HCUJ,Joao Carlos Martins
0,0.379,0.141,0,-17.441,1,0.043,0.994,0.899,0.0717,0.172,111.983,audio_features,213733,4,1,38v4YApgrcrKkFR1P4PSbV,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
1,0.363,0.264,0,-15.624,0,0.0466,0.993,0.873,0.169,0.521,93.71,audio_features,186427,4,2,66LHYnjYq8qAKqRTnKxmkE,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
2,0.402,0.211,1,-18.91,1,0.0446,0.993,0.895,0.104,0.73,106.34,audio_features,204213,4,3,28VzFg0r7YpHwi5xIZATMt,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
3,0.375,0.135,1,-19.021,0,0.0631,0.995,0.88,0.094,0.141,85.424,audio_features,349333,4,4,1KwdXY9zub4CUbacS5IkmE,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
4,0.335,0.121,2,-22.007,1,0.0488,0.994,0.89,0.0821,0.4,111.834,audio_features,177853,4,5,4joGIG3wZzxfmfP30JqCjO,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
5,0.271,0.231,2,-19.922,0,0.0394,0.994,0.916,0.326,0.401,96.229,audio_features,163227,1,6,6dI7XKmqbwKqk3gcVYbS6a,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
6,0.343,0.123,3,-24.016,1,0.0367,0.994,0.865,0.159,0.384,98.807,audio_features,359747,4,7,77cKohdT6SwXmAczORV6U1,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
7,0.406,0.0537,3,-24.274,0,0.0465,0.994,0.904,0.078,0.109,86.437,audio_features,434747,4,8,7xfveDZwWvuE9erVqUwFl9,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
8,0.347,0.129,1,-22.481,0,0.0421,0.995,0.914,0.123,0.588,107.768,audio_features,151827,4,9,3QXOHAK3a6mQFIPdWu9Mx1,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
9,0.275,0.208,4,-17.934,0,0.0406,0.991,0.907,0.16,0.572,132.763,audio_features,189293,4,10,3PtGcYNCWWHXQoMA4RpUob,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
10,0.377,0.17,5,-21.854,1,0.0373,0.994,0.894,0.153,0.846,101.343,audio_features,134347,4,11,0tgqvpchEPzcpNOFWBssaO,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
11,0.382,0.116,5,-23.649,0,0.0507,0.995,0.874,0.134,0.133,138.926,audio_features,344200,4,12,4JcgfmBONq3Gn4V1snbmgl,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
12,0.344,0.063,6,-27.448,1,0.0448,0.995,0.9,0.112,0.762,148.051,audio_features,200653,4,13,4zcNeR0bvv2Bsfck0cqu4j,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
13,0.39,0.128,6,-22.722,0,0.0521,0.995,0.874,0.187,0.267,92.577,audio_features,237093,4,14,12hOrgbr7J9ZIfqo3SBlNr,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
14,0.421,0.158,7,-20.204,1,0.0415,0.994,0.901,0.165,0.806,111.808,audio_features,189387,4,15,3xaTqzWY3OELAG6EevcnC2,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
15,0.357,0.133,7,-21.766,0,0.0479,0.994,0.886,0.243,0.373,88.209,audio_features,222933,4,16,0vHzikA6m9WXcaprRxD3Wa,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
16,0.376,0.0467,8,-27.161,1,0.0381,0.995,0.881,0.109,0.386,99.01,audio_features,277827,4,17,470tE2riE1A5kD8pU5BJNX,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
17,0.484,0.066,8,-27.532,0,0.0563,0.994,0.877,0.0964,0.265,122.337,audio_features,266733,4,18,2NUbR5CkrsGcfqZuPCloG7,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
18,0.361,0.0584,6,-29.986,0,0.0487,0.995,0.877,0.134,0.465,118.67,audio_features,208053,4,1,0iZdp9YI9yHA9NOzKeibLV,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
19,0.469,0.146,9,-22.285,0,0.0596,0.987,0.797,0.0808,0.694,108.312,audio_features,275987,4,2,6r7ZQJ3pcv2z6ROLodG2is,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
